slug,name,description
"bodysuit","Bodysuit","Trang phục bó sát toàn thân (như latex, da bóng), tôn lên đường cong, tạo cảm giác ngộp thở, quyến rũ và ướt át."
"bondage","Bondage","Trói buộc cơ thể bằng dây, còng hoặc các công cụ, tạo sự phục tùng và kiểm soát trong các cảnh tình dục."
"breastjobs","BreastJobs","Kẹp dương vật giữa hai bầu ngực và di chuyển để kích thích, thường đi kèm cảnh xuất tinh lên mặt hoặc ngực."
"brocon","Brocon","Nhân vật nữ có tình cảm mãnh liệt hoặc dục vọng với anh trai, thường mang yếu tố cấm kỵ nhẹ và cảm xúc phức tạp."
"brother","Brother","Quan hệ tình dục hoặc tình cảm giữa anh trai và nhân vật khác, thường nhấn mạnh sự cấm kỵ và kịch tính."
"business-suit","Business Suit","Trang phục công sở bó sát như váy bút chì, áo sơ mi ôm, vest nữ, thể hiện hình ảnh chị sếp hoặc thư ký lạnh lùng bị khuất phục."
"che-it","Che ít","Nội dung táo bạo với trang phục tối thiểu, gần như khoe trọn cơ thể, như nội y hoặc vải mỏng manh."
"che-nhieu","Che nhiều","Nội dung gợi cảm nhưng kín đáo, tập trung vào trang phục che phủ nhiều nhưng vẫn khêu gợi, như áo dài bó sát hoặc váy dài xẻ cao."
"creampie","Creampie","Quan hệ tình dục với hành động xuất tinh bên trong âm đạo, nhấn mạnh sự thân mật, khoái cảm trọn vẹn và cảm giác chiếm hữu."
"cheating","Cheating","Ngoại tình, nhân vật phản bội người yêu hoặc vợ/chồng, tạo kịch tính và cảm giác tội lỗi hoặc kích thích."
"chikan","Chikan","Nhân vật nữ bị quấy rối tình dục ở nơi công cộng, như tàu điện, xe buýt, tập trung vào sự lén lút và cảm giác cấm kỵ."
"chinese-dress","Chinese Dress","Trang phục sườn xám xẻ cao, ôm sát vòng eo, khoe đùi, mang nét gợi cảm tinh tế trong bối cảnh cổ trang hoặc hiện đại."
"co-che","Có che","Nội dung có kiểm duyệt, che phủ các bộ phận nhạy cảm bằng vạch đen, mosaic hoặc vật thể, tạo sự tò mò."
"comedy","Comedy","Tập trung vào yếu tố hài hước trong các tình huống tình dục, thường có tai nạn hoặc hiểu lầm dẫn đến cảnh nóng vui nhộn."
"comic","Comic","Truyện tranh phong cách phương Tây, kết hợp cốt truyện dài, tình tiết hài hước hoặc kịch tính với yếu tố gợi cảm."
"con-trung","Côn trùng","Nhân vật hoặc bối cảnh liên quan đến côn trùng, như người côn trùng hoặc tình dục với sinh vật côn trùng, mang cảm giác kỳ lạ và cấm kỵ."
"condom","Condom","Quan hệ tình dục sử dụng bao cao su, nhấn mạnh sự an toàn hoặc dùng như chi tiết gợi cảm trong cảnh."
"cosplay","Cosplay","Nhân vật hóa trang sexy như nữ hầu, bunny girl, nhân vật anime/game nổi tiếng, tăng yếu tố mới lạ và hấp dẫn thị giác."
"cousin","Cousin","Quan hệ tình cảm hoặc thể xác giữa anh chị em họ, mang cảm giác cấm kỵ nhẹ nhưng không liên quan huyết thống gần."
"crotch-tattoo","Crotch Tattoo","Hình xăm ở vùng kín hoặc gần đó, tạo cảm giác nổi loạn, dâm đãng, thường gắn với nhân vật chủ động và táo bạo."
"cunnilingus","Cunnilingus","Quan hệ tình dục bằng miệng, tập trung vào việc kích thích âm đạo bằng môi và lưỡi, miêu tả chi tiết cảm xúc và phản ứng."
"dark-skin","Dark Skin","Nhân vật có làn da nâu hoặc sẫm màu, được miêu tả với vẻ đẹp gợi cảm, mạnh mẽ và quyến rũ."
"daughter","Daughter","Quan hệ tình dục hoặc tình cảm giữa con gái và nhân vật khác, thường nhấn mạnh yếu tố cấm kỵ và cảm xúc phức tạp."
"deepthroat","Deepthroat","Kỹ thuật quan hệ bằng miệng, ngậm sâu toàn bộ dương vật đến tận gốc, gây nghẹt thở, chảy nước mắt, tạo cảm giác mãnh liệt."
"demon","Demon","Nhân vật là quỷ hoặc sinh vật siêu nhiên với sừng, đuôi, móng vuốt, mang vẻ ngoài tà ác, quyến rũ và thống trị."
"demongirl","DemonGirl","Nữ quỷ với sừng, đuôi, ánh mắt dâm đãng, chủ động quyến rũ, thường kiểm soát cuộc chơi với vẻ đẹp ma mị."
"devil","Devil","Nhân vật ác quỷ mang sức mạnh siêu nhiên, kết hợp sự tàn nhẫn và quyến rũ trong các cảnh tình dục."
"devilgirl","DevilGirl","Cô gái mang đặc điểm ác quỷ, như cánh, đuôi, ánh sáng đỏ, gợi cảm giác nguy hiểm nhưng đầy mê hoặc."
"dirty","Dirty","Nội dung tập trung vào các cảnh bẩn thỉu, táo bạo, liên quan đến mồ hôi, bùn đất hoặc các yếu tố thô ráp."
"dirtyoldman","DirtyOldMan","Ông già có hành vi dâm đãng, thường dụ dỗ hoặc quan hệ với nhân vật trẻ hơn, mang cảm giác cấm kỵ."
"double-penetration","Double Penetration","Quan hệ tình dục đồng thời qua hai đường (hậu môn và âm đạo), tạo cảm giác mãnh liệt và quá tải khoái cảm."
"doujinshi","Doujinshi","Truyện tranh 18+ do fan sáng tác, sử dụng nhân vật từ anime/game nổi tiếng (như Genshin, Naruto, One Piece) hoặc tự tạo."
"drama","Drama","Nội dung tình dục kết hợp với cốt truyện đầy cảm xúc, giằng xé nội tâm, thường có xung đột tình yêu hoặc gia đình."
"drug","Drug","Sử dụng chất kích thích hoặc thuốc để tăng khoái cảm hoặc thay đổi trạng thái tâm lý, dẫn đến các cảnh mất kiểm soát."
"ecchi","Ecchi","Tình huống hớ hênh, đụng chạm vô tình, váy bị gió thổi,… các tai nạn khiến nhân vật rơi vào tình huống nhạy cảm."
"elf","Elf","Nhân vật thuộc chủng tộc yêu tinh, với tai nhọn, thân hình mảnh mai, vẻ đẹp siêu thực, thường trong bối cảnh giả tưởng."
"fantasy","Fantasy","Bối cảnh giả tưởng với yêu tinh, rồng, phù thủy, kết hợp yếu tố tình dục với thế giới kỳ ảo đầy màu sắc."
"father","Father","Quan hệ tình dục hoặc tình cảm giữa cha và nhân vật khác, nhấn mạnh yếu tố cấm kỵ và kịch tính cảm xúc."
"femdom","Femdom","Nữ làm chủ, điều khiển và áp đảo nam giới trong quan hệ tình dục, thường sử dụng sự phục tùng hoặc trói buộc."
"fingering","Fingering","Kích thích âm đạo hoặc điểm G bằng tay, thường là màn dạo đầu gợi cảm, thể hiện sự khéo léo và phản ứng mãnh liệt của nhân vật."
"footjob","Footjob","Kích thích dương vật bằng bàn chân, nhấn mạnh sự khéo léo và vẻ đẹp của đôi chân nhân vật."
"full-color","Full Color","Toàn bộ truyện được tô màu sống động thay vì trắng đen, tăng kích thích thị giác và cảm xúc."
"furry","Furry","Nhân vật mang đặc điểm động vật hình người, như lông, tai, đuôi, kết hợp yếu tố hoang dã và gợi cảm."
"futanari","Futanari","Nhân vật nữ có cả cơ quan sinh dục nam và nữ, tạo sự độc đáo và kích thích trong các cảnh tình dục."
"gangbang","Gangbang","Một nhân vật bị nhiều người quan hệ cùng lúc, tạo cảm giác mãnh liệt, quá tải và cấm kỵ."
"group","Group","Cảnh quan hệ tình dục có từ ba người trở lên, tập trung vào tương tác chéo giữa các nhân vật, mang lại cảm giác mới lạ và mạnh mẽ."
"gender-bender","Gender Bender","Nhân vật bị biến đổi giới tính (nam thành nữ hoặc ngược lại) qua phép thuật, thuốc hoặc công nghệ, tạo nên các tình huống hài hước và kích thích."
"ghost","Ghost","Nhân vật là ma quỷ hoặc linh hồn, mang yếu tố siêu nhiên, kết hợp tình dục với sự bí ẩn và rùng rợn."
"glasses","Glasses","Nhân vật đeo kính, mang vẻ ngoài trí thức hoặc ngây thơ, tạo sự tương phản gợi cảm trong các cảnh nóng."
"gothic-lolita","Gothic Lolita","Nhân vật mặc trang phục gothic lolita với váy ren, tất lưới, mang vẻ ngoài dễ thương nhưng gợi cảm và bí ẩn."
"guro","Guro","Nội dung kết hợp tình dục với bạo lực cực đoan, máu me, hoặc thương tổn, thường gây sốc và không dành cho số đông."
"handjob","Handjob","Kích thích dương vật bằng tay, nhấn mạnh sự khéo léo và cảm xúc trong các cảnh thân mật."
"harem","Harem","Một nhân vật (thường là nam) được nhiều nhân vật khác giới vây quanh, tranh giành tình cảm hoặc tình dục."
"horror","Horror","Kết hợp yếu tố kinh dị với tình dục, như ma quỷ, zombie, hoặc bối cảnh rùng rợn, tạo kích thích xen lẫn sợ hãi."
"housewife","Housewife","Nhân vật là nội trợ, thường mang vẻ ngoài dịu dàng nhưng gợi cảm, tham gia các cảnh nóng trong bối cảnh gia đình."
"idol","Idol","Nhân vật là thần tượng âm nhạc hoặc ngôi sao, bị lôi kéo vào tình huống gợi cảm, khai thác sự nổi tiếng và ánh hào quang."
"incest","Incest","Quan hệ tình dục hoặc tình cảm giữa những người có quan hệ huyết thống gần, mang yếu tố cấm kỵ và kịch tính."
"isekai","Isekai","Nhân vật bị đưa vào thế giới khác, thường giả tưởng, kết hợp tình dục với phiêu lưu, ma thuật hoặc sinh vật kỳ lạ."
"khong-che","Không che","Nội dung không kiểm duyệt, hiển thị rõ ràng các bộ phận nhạy cảm, tăng tính chân thực và kích thích."
"kimono","Kimono","Nhân vật mặc kimono Nhật Bản, tôn lên vẻ đẹp truyền thống, gợi cảm trong bối cảnh cổ xưa hoặc hiện đại."
"lingerie","Lingerie","Nhân vật mặc đồ lót gợi cảm như áo ngực, quần lót ren, corset hoặc tất lưới. Tập trung vào yếu tố thị giác, quyến rũ và kích thích."
"loli","Loli","Nhân vật nữ có ngoại hình nhỏ nhắn, trẻ trung, mang vẻ ngoài dễ thương nhưng tham gia vào các cảnh gợi cảm, tạo cảm giác cấm kỵ."
"manhua","Manhua","Truyện tranh Trung Quốc, mang phong cách cổ trang hoặc võ hiệp, kết hợp tình dục với cốt truyện phong phú."
"manhwa","Manhwa","Truyện tranh Hàn Quốc, nét vẽ mượt mà, cốt truyện hiện đại hoặc giả tưởng, kết hợp yếu tố tình dục hấp dẫn."
"maids","Maids","Nhân vật mặc trang phục hầu gái gợi cảm, váy ngắn, tạp dề, tất lưới, phục vụ chủ nhân với sự ngoan ngoãn hoặc quyến rũ."
"masturbation","Masturbation","Nhân vật tự kích thích bản thân bằng tay hoặc đồ chơi tình dục, thể hiện sự tò mò, cô đơn hoặc ham muốn dồn nén."
"milf","Milf","Phụ nữ trưởng thành, quyến rũ, giàu kinh nghiệm, thường là mẹ kế, cô giáo, vợ bạn, biết chiều chuộng và dẫn dắt."
"mind-break","Mind Break","Nhân vật bị ép đến tâm trí bị phá vỡ do khoái cảm hoặc áp lực tâm lý, thể hiện qua biểu cảm trống rỗng hoặc cực khoái mãnh liệt."
"mind-control","Mind Control","Nhân vật bị thao túng tâm trí qua ma thuật, thuốc hoặc công nghệ, dẫn đến hành vi tình dục ngoài ý muốn, tạo cảm giác bí ẩn."
"monster","Monster","Nhân vật hoặc sinh vật quái dị, không phải người, tham gia vào các cảnh tình dục, mang yếu tố kỳ lạ và cấm kỵ."
"mother","Mother","Quan hệ tình dục hoặc tình cảm giữa mẹ và nhân vật khác, nhấn mạnh yếu tố cấm kỵ và cảm xúc phức tạp."
"nakadashi","Nakadashi","Quan hệ tình dục với xuất tinh bên trong, nhấn mạnh khoái cảm mãnh liệt và cảm giác chân thực."
"netori","Netori","Nhân vật chính chủ động chiếm đoạt người yêu hoặc vợ/chồng của người khác, mang cảm giác quyền lực và cấm kỵ."
"ntr","NTR","Nhân vật chính bị cắm sừng, người yêu hoặc vợ bị người khác dụ dỗ, chiếm đoạt, tạo kịch tính và cảm giác đau đớn."
"nun","Nun","Nữ tu sĩ mặc áo dòng, mang vẻ ngoài thánh thiện nhưng sa ngã trong các cảnh cấm kỵ, tạo cảm giác tội lỗi gợi tình."
"nurse","Nurse","Y tá gợi cảm với áo blouse ngắn, tất trắng, xuất hiện trong bối cảnh bệnh viện hoặc phòng khám, mang sự quyến rũ và chăm sóc."
"oneshot","Oneshot","Truyện ngắn chỉ trong một chương, tập trung vào một tình huống tình dục cụ thể, không có cốt truyện dài dòng."
"pregnant","Pregnant","Nhân vật nữ mang thai, được miêu tả với thân hình đẫy đà, nhấn mạnh sự gợi cảm và nhạy cảm của cơ thể."
"princess","Princess","Nhân vật là công chúa, xuất hiện trong bối cảnh hoàng gia hoặc giả tưởng, kết hợp vẻ đẹp cao quý với các cảnh gợi tình."
"quan-tat","Quần tất","Nhân vật mặc quần tất mỏng, thường rách hoặc kéo xuống, tôn lên đôi chân và tạo cảm giác gợi cảm mãnh liệt."
"rape","Rape","Quan hệ tình dục cưỡng ép, không có sự đồng thuận, thường mang yếu tố bạo lực và kịch tính, gây tranh cãi."
"romance","Romance","Tình dục gắn liền với tình yêu thật sự, nhẹ nhàng, đồng thuận, nhiều cảm xúc, không có yếu tố ép buộc hay bạo lực."
"school-uniform","School uniform","Nhân vật mặc đồng phục học sinh, váy ngắn, sơ mi bó sát, tất cao, tạo cảm giác trẻ trung và gợi cảm."
"schoolgirl","SchoolGirl","Nữ sinh trung học 16–18 tuổi, mặc đồng phục váy ngắn, sơ mi bó sát, tất cao, xuất hiện trong bối cảnh trường học, ký túc xá, thư viện."
"sex-toys","Sex Toys","Sử dụng đồ chơi tình dục như máy rung, dây trói, hoặc thiết bị khác để tăng khoái cảm trong các cảnh nóng."
"shota","Shota","Nhân vật nam có ngoại hình nhỏ nhắn, trẻ trung, mang vẻ ngoài dễ thương nhưng tham gia vào các cảnh gợi cảm, tạo cảm giác cấm kỵ."
"siscon","Siscon","Nhân vật nam có tình cảm mãnh liệt hoặc dục vọng với chị/em gái, thường mang yếu tố cấm kỵ nhẹ và cảm xúc phức tạp."
"sister","Sister","Quan hệ tình dục hoặc tình cảm giữa chị/em gái và nhân vật khác, nhấn mạnh sự cấm kỵ và kịch tính."
"succubus","Succubus","Nhân vật là nữ quỷ dâm dục chuyên quyến rũ đàn ông để hút sinh lực, mang vẻ đẹp ma mị, chủ động và tràn đầy dục vọng."
"supernatural","Supernatural","Kết hợp yếu tố siêu nhiên như ma quỷ, phép thuật, thần linh hoặc năng lực đặc biệt với tình dục, tạo không khí huyền bí và kích thích."
"slave","Slave","Nhân vật bị biến thành nô lệ tình dục, phục tùng và bị kiểm soát, thường mang yếu tố áp bức và cấm kỵ."
"sleeping","Sleeping","Quan hệ tình dục khi một nhân vật đang ngủ hoặc giả vờ ngủ, tạo cảm giác lén lút và cấm kỵ."
"small-boobs","Small Boobs","Nhân vật nữ có vòng 1 nhỏ nhắn, được nhấn mạnh với vẻ đẹp thanh thoát, dễ thương hoặc ngây thơ."
"soft-incest","Soft Incest","Quan hệ tình cảm hoặc tình dục giữa những người có họ hàng gần nhưng không sống cùng nhà hoặc không có quan hệ huyết thống trực tiếp, như anh họ – em họ, con riêng – mẹ kế."
"son","Son","Quan hệ tình dục hoặc tình cảm giữa con trai và nhân vật khác, nhấn mạnh yếu tố cấm kỵ và cảm xúc phức tạp."
"sport","Sport","Kết hợp thể thao với tình dục, như phòng gym, yoga, hoặc thi đấu, nhấn mạnh cơ thể săn chắc và mồ hôi."
"squirting","Squirting","Mô tả cảnh nữ nhân vật đạt cực khoái với phản ứng phun nước mạnh mẽ, nhấn mạnh sự mãnh liệt và chân thực."
"stockings","Stockings","Nhân vật mặc tất dài, tất lưới hoặc tất đùi, tôn lên đôi chân, tạo cảm giác gợi cảm và quyến rũ."
"swimsuit","Swimsuit","Nhân vật mặc đồ bơi, thường là bikini hoặc đồ bơi một mảnh bó sát, xuất hiện ở hồ bơi, bãi biển, tạo sự gợi cảm trẻ trung."
"series","Series","Truyện dài kỳ gồm nhiều chương, phát triển cốt truyện và nhân vật qua thời gian. Kết hợp yếu tố tình dục với mạch truyện hấp dẫn."
"short","Short","Truyện ngắn hoặc one-shot chỉ có một chương, tập trung vào một tình huống tình dục duy nhất, diễn biến nhanh và trực tiếp."
"teacher","Teacher","Nhân vật là giáo viên, thường trong mối quan hệ cấm kỵ với học sinh hoặc đồng nghiệp, diễn ra ở lớp học hoặc văn phòng."
"tentacles","Tentacles","Quan hệ tình dục với các sinh vật có xúc tu, như bạch tuộc hoặc quái vật, mang yếu tố kỳ lạ và cấm kỵ."
"time-stop","Time Stop","Nhân vật sử dụng khả năng dừng thời gian để thực hiện hành vi tình dục, tạo cảm giác quyền lực và cấm kỵ."
"threesome","Threesome","Cảnh quan hệ giữa ba người (thường là hai nữ một nam hoặc ngược lại), nhấn mạnh cảm giác đa chiều, ghen tuông nhẹ và khoái cảm mạnh mẽ."
"tomboy","Tomboy","Nhân vật nữ có phong cách nam tính, năng động, nhưng vẫn gợi cảm khi tham gia các cảnh tình dục, tạo sự mới lạ."
"truyen-viet","Truyện Việt","Truyện tranh Việt Nam, mang nét vẽ và cốt truyện gần gũi với văn hóa Việt, kết hợp yếu tố tình dục độc đáo."
"tsundere","Tsundere","Nhân vật nữ có tính cách lạnh lùng, khó gần bên ngoài nhưng mềm mại, tình cảm trong các cảnh thân mật, tạo sự tương phản hấp dẫn."
"twins","Twins","Quan hệ tình dục liên quan đến cặp song sinh, tạo cảm giác cấm kỵ hoặc kích thích vì sự giống nhau về ngoại hình."
"underwater","Underwater","Quan hệ tình dục diễn ra dưới nước, như hồ bơi, biển, hoặc bối cảnh giả tưởng, mang cảm giác mới lạ và ướt át."
"vanilla","Vanilla","Cảnh sex nhẹ nhàng, đồng thuận, không có yếu tố bạo lực hay cực đoan, chú trọng vào kết nối cảm xúc."
"virgin","Virgin","Nhân vật chưa từng quan hệ tình dục, tập trung vào lần đầu trải nghiệm, đi kèm cảm xúc ngây thơ hoặc hồi hộp."
"webtoon","Webtoon","Truyện tranh định dạng dọc, thường có nét vẽ hiện đại, cốt truyện phong phú, kết hợp yếu tố tình dục hấp dẫn."
"x-ray","X-ray","Hình ảnh minh họa xuyên thấu, cho thấy chi tiết bên trong cơ thể trong lúc quan hệ, tạo hiệu ứng thị giác táo bạo."
"yandere","Yandere","Nhân vật có tình yêu ám ảnh, điên cuồng, sẵn sàng làm mọi thứ (kể cả bạo lực) để chiếm hữu đối tượng, tạo kịch tính và nguy hiểm."
"yaoi","Yaoi","Quan hệ tình dục giữa hai nam nhân vật, tập trung vào tình cảm lãng mạn hoặc đam mỹ, phổ biến trong cộng đồng yêu thích BL."
"yuri","Yuri","Quan hệ tình dục giữa hai nữ nhân vật, nhấn mạnh sự lãng mạn, gợi cảm, hoặc tình yêu đồng giới, thường nhẹ nhàng hoặc mãnh liệt."
